,ID,Status,Latitude,Longitude,Max_Speed,Min_Pressure,Low_Rad_NE,Low_Rad_SE,Low_Rad_SW,Low_Rad_NW,Med_Rad_NE,Med_Rad_SE,Med_Rad_SW,Med_Rad_NW,High_Rad_NE,High_Rad_SE,High_Rad_SW,High_Rad_NW,Time,x,y,Season,Zones
40,AL021970, TD,18.8,-84.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-19 06:00:00,-9406496.972031618,2131403.2476535104,Summer,Mexico_Caribbean
41,AL021970, TD,19.4,-85.2,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-19 12:00:00,-9484420.615586909,2202086.5110550304,Summer,Mexico_Caribbean
42,AL021970, TD,20.3,-85.6,30.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-19 18:00:00,-9528948.411904218,2308604.115398843,Summer,Mexico_Caribbean
43,AL021970, TD,21.3,-85.9,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-20 00:00:00,-9562344.259142201,2427686.5436241785,Summer,Mexico_Caribbean
44,AL021970, TD,22.3,-86.2,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-20 06:00:00,-9595740.106380183,2547582.1334137605,Summer,Mexico_Caribbean
45,AL021970, TS,23.3,-86.4,40.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-20 12:00:00,-9618004.004538838,2668339.105750191,Summer,Mexico_Caribbean
46,AL021970, TS,24.1,-86.6,45.0,1008.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-20 18:00:00,-9640267.90269749,2765598.287796373,Summer,Mexico_Caribbean
47,AL021970, TS,25.0,-86.6,50.0,1003.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-21 00:00:00,-9640267.90269749,2875744.6243522423,Summer,Mexico_Caribbean
48,AL021970, TS,25.8,-86.7,55.0,1004.0,,,,,,,,,0.0,0.0,0.0,0.0,1970-07-21 06:00:00,-9651399.85177682,2974331.0993660805,Summer,Mexico_Caribbean
49,AL021970, TS,26.6,-86.6,55.0,1006.0,,,,,,,,,0.0,0.0,0.0,0.0,1970-07-21 12:00:00,-9640267.90269749,3073585.3046073965,Summer,Mexico_Caribbean
50,AL021970, TS,27.5,-86.3,55.0,,,,,,,,,,0.0,0.0,0.0,0.0,1970-07-21 18:00:00,-9606872.05545951,3186080.233365009,Summer,Mexico_Caribbean
51,AL021970, TS,28.3,-86.0,45.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-22 00:00:00,-9573476.208221529,3286849.8476637644,Summer,Mexico_Caribbean
52,AL021970, TS,29.2,-85.5,40.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-22 06:00:00,-9517816.46282489,3401126.2640664903,Summer,Mexico_Caribbean
53,AL021970, TD,29.9,-85.1,30.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-22 12:00:00,-9473288.666507581,3490702.241349621,Summer,Mexico_Caribbean
54,AL021970, TD,31.7,-84.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-22 18:00:00,-9428760.870190272,3723995.0672950866,Summer,Mexico_Caribbean
55,AL021970, TD,33.4,-85.2,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-23 00:00:00,-9484420.615586909,3948518.4270993923,Summer,Mexico_Caribbean
56,AL021970, TD,35.3,-86.0,25.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-23 06:00:00,-9573476.208221529,4204725.050936375,Summer,Mexico_Caribbean
57,AL021970, TD,37.2,-86.9,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-23 12:00:00,-9673663.749935474,4467020.993627968,Summer,Mexico_Caribbean
58,AL031970, TD,33.0,-76.5,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-27 12:00:00,-8515941.04568543,3895303.9633938945,Summer,Atlantic
59,AL031970, TD,33.5,-76.2,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-27 18:00:00,-8482545.198447447,3961860.2174457465,Summer,Atlantic
60,AL031970, TD,34.0,-76.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-28 00:00:00,-8460281.300288793,4028802.0261344067,Summer,Atlantic
61,AL031970, TD,34.5,-75.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-28 06:00:00,-8426885.45305081,4096139.0404472323,Summer,Atlantic
62,AL031970, TD,35.0,-75.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-28 12:00:00,-8404621.554892154,4163881.1440642904,Summer,Atlantic
63,AL031970, TD,34.8,-74.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-28 18:00:00,-8293302.064098882,4136735.049397425,Summer,Atlantic
64,AL031970, TD,34.7,-73.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-29 00:00:00,-8181982.573305608,4123186.709668859,Summer,Atlantic
65,AL031970, TD,34.6,-72.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-29 06:00:00,-8070663.082512335,4109654.7335526617,Summer,Atlantic
