,ID,Latitude_start,Longitude_start,Season_start,Zones_start,x_start,y_start,Year_start,Month_start,Latitude_end,Longitude_end,Season_end,Zones_end,x_end,y_end,Year_end,Month_end,Duration,Distance,Distance_draw
69,AL101973,20.5,-86.5,Autumn,Mexico_Caribbean,-9629135.953618163,2332357.8126193318,1973,9,29.2,-101.7,Autumn,Mexico_Caribbean,-11321192.213675926,3401126.2640664913,1973,9,5.5 days,2545.508288932642,106911.34813517095
70,AL111973,18.0,-86.0,Autumn,Mexico_Caribbean,-9573476.208221527,2037548.5447506013,1973,9,30.0,-95.0,Autumn,Mexico_Caribbean,-10575351.62536099,3503549.843504374,1973,9,6.0 days,2107.9606910946973,88534.34902597728
71,AL121973,10.5,-22.4,Autumn,Atlantic,-2493556.593769328,1175452.6085934306,1973,9,55.5,-25.0,Autumn,Atlantic,-2782987.2698318395,7459516.94137966,1973,9,9.0 days,8502.851877543058,357119.77885680844
72,AL131973,28.5,-77.5,Autumn,Atlantic,-8627260.536478702,3312159.8598184395,1973,9,29.5,-83.0,Autumn,Mexico_Caribbean,-9239517.735841706,3439440.06073126,1973,9,2.0 days,687.4610333895885,28873.363402362716
73,AL141973,30.0,-65.8,Autumn,Atlantic,-7324822.494197401,3503549.843504374,1973,10,47.9,-6.5,Autumn,Atlantic,-723576.6901562783,6090234.492705667,1973,10,4.75 days,6628.1980662612705,278384.31878297334
74,AL151973,24.0,-70.5,Autumn,Atlantic,-7848024.100925787,2753408.109364979,1973,10,31.5,-53.5,Autumn,Atlantic,-5955592.757440138,3697855.330337703,1973,10,2.0 days,2015.7115683000363,84659.88586860153
75,AL161973,16.3,-82.0,Autumn,Mexico_Caribbean,-9128198.245048434,1839490.7129754247,1973,10,61.8,-40.4,Autumn,Atlantic,-4497307.428048252,8811874.377744475,1973,10,13.75 days,6985.451040250352,293388.9436905148
76,AL171973,10.0,-80.0,Autumn,Mexico_Caribbean,-8905559.263461886,1118889.9748579594,1973,11,10.8,-84.0,Autumn,Mexico_Caribbean,-9350837.22663498,1209433.8422168798,1973,11,1.25 days,498.609183290686,20941.58569820881
77,AL011974,19.0,-95.0,Summer,Mexico_Caribbean,-10575351.62536099,2154935.9150858917,1974,6,23.5,-87.5,Summer,Mexico_Caribbean,-9740455.444411438,2692598.2193217874,1974,6,4.0 days,1002.1695297490339,42091.120249459425
78,AL021974,24.0,-88.0,Summer,Mexico_Caribbean,-9796115.189808074,2753408.109364979,1974,6,33.5,-75.5,Summer,Atlantic,-8404621.554892154,3961860.217445746,1974,6,1.25 days,1711.7608989055605,71893.95775403354
79,AL031974,18.0,-21.0,Summer,Atlantic,-2337709.3066587453,2037548.5447506013,1974,6,18.0,-36.0,Summer,Atlantic,-4007501.668557849,2037548.5447506013,1974,7,2.0 days,1647.3871638297028,69190.26088084752
80,AL041974,28.5,-87.0,Summer,Mexico_Caribbean,-9684795.699014803,3312159.8598184395,1974,7,29.5,-94.5,Summer,Mexico_Caribbean,-10519691.879964354,3439440.06073126,1974,7,4.25 days,1247.5148136196603,52395.62217202573
81,AL051974,29.0,-75.0,Summer,Atlantic,-8348961.809495519,3375646.03491931,1974,7,48.8,-47.0,Summer,Atlantic,-5232016.067283859,6240993.463458902,1974,7,4.5 days,3864.0113801873067,162288.47796786687
82,AL061974,38.0,-70.0,Summer,Atlantic,-7792364.355529151,4579425.812870096,1974,8,43.5,-60.0,Summer,Atlantic,-6679169.447596415,5388389.272819325,1974,8,4.5 days,1770.2533491814625,74350.64066562142
83,AL071974,10.5,-43.0,Summer,Atlantic,-4786738.104110763,1175452.6085934306,1974,8,10.5,-70.0,Summer,Mexico_Caribbean,-7792364.355529151,1175452.6085934306,1974,8,3.0 days,2992.7263138298613,125694.50518085418
84,AL081974,24.0,-85.5,Summer,Mexico_Caribbean,-9517816.46282489,2753408.109364979,1974,8,29.5,-95.5,Summer,Mexico_Caribbean,-10631011.370757626,3439440.06073126,1974,8,2.0 days,1260.1449552413683,52926.088120137465
85,AL091974,27.0,-69.0,Summer,Atlantic,-7681044.864735877,3123471.749104576,1974,8,43.0,-36.0,Autumn,Atlantic,-4007501.668557849,5311971.846945471,1974,9,6.75 days,4425.508026375003,185871.33710775015
86,AL101974,16.8,-55.8,Summer,Atlantic,-6211627.586264665,1897556.232409336,1974,8,31.3,-96.7,Autumn,Mexico_Caribbean,-10764594.759709556,3671771.448797136,1974,9,12.0 days,5640.5119524586225,236901.50200326214
